Image,Center_X,Center_Y,Radius
1,364,108,13
2,398,153,11
3,391,195,13
4,399,238,10
5,404,285,9
6,412,334,6
7,420,381,7
8,428,414,5
9,412,380,8
10,395,349,6
11,378,324,5
12,368,312,5
13,357,299,6
